,highway,side,between,time,period,start_loc,end_loc,start_lat,start_lon,end_lat,end_lon,avg_lat,avg_lon,geohash,time_1,time_2
2138,Weatherell Street,South,Jane Street (south intersection) and Armadale Avenue,"Anytime, Sat. and Sun.",1 hour,Jane Street (south intersection) , Armadale Avenue,43.651638000000005,-79.4854215,43.65181799999999,-79.48385999999999,43.65181799999999,-79.48385999999999,dpz2r69,Anytime, Sat. and Sun.
2140,Wellington Street West,North,A point 49 metres west of Tecumseth Street and a point 21 metres further west,10:00 a.m. to 4:00 p.m.,1 hour,A point 49 metres west of Tecumseth Street , a point 21 metres further west,43.642089,-79.404723,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,10:00 a.m. to 4:00 p.m.,
2141,Wellington Street West,North,A point 78 metres west of Bathurst Street and Tecumseth Street,8:00 a.m. to 4:00 p.m.,1 hour,A point 78 metres west of Bathurst Street , Tecumseth Street,43.64264700000001,-79.4021625,43.642089,-79.404723,43.642089,-79.404723,dpz830g,8:00 a.m. to 4:00 p.m.,
2142,Wellington Street West,North,Tecumseth Street and a point 40 metres further west,10:00 a.m. to 4:00 p.m.,1 hour,Tecumseth Street , a point 40 metres further west,43.642089,-79.404723,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,10:00 a.m. to 4:00 p.m.,
2143,Wellington Street West,South,Bathurst Street and a point 55 metres further west,8:00 a.m. to 4:00 p.m.,1 hour,Bathurst Street , a point 55 metres further west,43.642647,-79.402167,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 4:00 p.m.,
2146,Wembley Road,South,Hilltop Road and the west end of Wembley Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Hilltop Road , the west end of Wembley Road,43.701398999999995,-79.42795199999999,43.70085598842531,-79.43054548811789,43.70085598842531,-79.43054548811789,dpz88e2,8:00 a.m. to 6:00 p.m., Mon. to Fri.
2147,Wendover Road,Both,Bloor Street West and a point 36.5 metres north,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Bloor Street West , a point 36.5 metres north,43.64847,-79.506621,43.65051157632515,-79.50754509293256,43.65051157632515,-79.50754509293256,dpz2qf2,9:00 a.m. to 6:00 p.m., Mon. to Sat.
2148,Wendover Road,East,King Georges Road (west intersection) and The Kingsway,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,King Georges Road (west intersection) , The Kingsway,43.65049500000001,-79.5076335,43.65261900000001,-79.508592,43.65261900000001,-79.508592,dpz2qdx,10:00 a.m. to 6:00 p.m., Mon. to Fri.
2149,West Lodge Avenue,East,Seaforth Avenue and a point 331.4 metres north of Seaforth Avenue,Anytime,1 hour,Seaforth Avenue , a point 331.4 metres north of Seaforth Avenue,43.642944,-79.43625,43.64294400000001,-79.4362545,43.64294400000001,-79.4362545,dpz822u,Anytime,
2150,West Lynn Avenue,West,Murdock Avenue and Danforth Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Murdock Avenue , Danforth Avenue,43.683102000000005,-79.31565450000001,43.68494700000001,-79.3162215,43.68494700000001,-79.3162215,dpz8e0e,8:00 a.m. to 6:00 p.m.,
2151,Westbury Crescent,North and east,Bicknell Avenue and Rotherham Avenue,8:00 a.m. to 7:00 p.m.,1 hour,Bicknell Avenue , Rotherham Avenue,43.684533000000016,-79.474932,43.68528000000001,-79.47702,43.68528000000001,-79.47702,dpz2x2w,8:00 a.m. to 7:00 p.m.,
2152,Westlake Avenue (TO),East,Stephenson Avenue and south end of Westlake Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Stephenson Avenue , south end of Westlake Avenue,43.68637800000001,-79.304553,43.69788900000001,-79.3102725,43.69788900000001,-79.3102725,dpz8e6b,8:00 a.m. to 6:00 p.m.,
2153,Westlake Avenue (TO),West,Danforth Avenue (east intersection) and south end of Westlake Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Danforth Avenue (east intersection) , south end of Westlake Avenue,43.687439999999995,-79.305228,43.69788900000001,-79.3102725,43.69788900000001,-79.3102725,dpz8e6b,8:00 a.m. to 6:00 p.m.,
2154,Charlottetown Boulevard,East,A point 177 metres north of Lawrence Avenue East and a point 121 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 177 metres north of Lawrence Avenue East , a point 121 metres further north,43.778655000000015,-79.1408205,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 4:00 p.m., Mon. to Fri.
2155,Manning Avenue,East,A point 41.4 metres north of Robinson Street and a point 33 metres further north,7:30 a.m. to 6:00 p.m. Mon. to Fri.,15 mins.,A point 41.4 metres north of Robinson Street , a point 33 metres further north,43.64772300000001,-79.409493,0.0,0.0,0.0,0.0,7zzzzzz,7:30 a.m. to 6:00 p.m. Mon. to Fri.,
2158,Rangoon Road,West,A point 57 metres north of Wellesworth Drive and a point 89.5 metres north thereof,"8:00 a.m. to 5:00 p.m., Monday to Friday",10 mins.,A point 57 metres north of Wellesworth Drive , a point 89.5 metres north thereof,43.66631699999999,-79.5789225,0.0,0.0,0.0,0.0,7zzzzzz,8:00 a.m. to 5:00 p.m., Monday to Friday
2159,Bartlett Avenue North,Both,Geary Avenue and a point 29.2 metres south,8:00 a.m. to 6:00 p.m.,1 hour,Geary Avenue , a point 29.2 metres south,43.66995299999999,-79.4368125,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 6:00 p.m.,
2160,Murray Ross Parkway,Both,Sentinel Road and a point 425 metres west of Sentinel Road,8:00 p.m. to 8:00 a.m.,12 hours,Sentinel Road , a point 425 metres west of Sentinel Road,43.764876000000015,-79.501392,0.0,0.0,0.0,0.0,7zzzzzz,8:00 p.m. to 8:00 a.m.,
2161,Murray Ross Parkway,Both,Sentinel Road and a point 425 metres west of Sentinel Road,"8:00 a.m. to 8:00 p.m., Mon., Tue., Thu., Fri.",1 hour,Sentinel Road , a point 425 metres west of Sentinel Road,43.764876000000015,-79.501392,0.0,0.0,0.0,0.0,7zzzzzz,8:00 a.m. to 8:00 p.m., Mon.
