,highway,side,between,time,period,start_loc,end_loc
177,Belsize Drive (north roadway),North,Harwood Road and Forman Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Harwood Road , Forman Avenue
178,Belsize Drive (south roadway),South,Harwood Road and Forman Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Harwood Road , Forman Avenue
179,Belvedere Boulevard,Both,Brentwood Road North and Royal York Road,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Brentwood Road North , Royal York Road
180,Bennett Road,West,A point of 106 metres south of Dunstall Crescent and a point 160 metres south of Dunstall Crescent,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point of 106 metres south of Dunstall Crescent , a point 160 metres south of Dunstall Crescent
181,Bennett Road,West,Ravenview Drive and a point 80 metres south of Ravenview Drive,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Ravenview Drive , a point 80 metres south of Ravenview Drive
182,Bennett Road,West,A point 224 metres south of Lawrence Avenue East and Dunstall Crescent,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 224 metres south of Lawrence Avenue East , Dunstall Crescent
183,Benson Avenue,North,Alberta Avenue and Winona Drive,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Alberta Avenue , Winona Drive
184,Benton Road,West,Lawrence Avenue West and a point 30 metres north of Colville Road,Anytime,1 hour,Lawrence Avenue West , a point 30 metres north of Colville Road
185,Beresford Avenue,East,A point 67.1 metres north of Bloor Street West (west intersection) and Colbeck Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 67.1 metres north of Bloor Street West (west intersection) , Colbeck Street
186,Beresford Avenue,East,Deforest Road and Bloor Street West (east intersection),"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Deforest Road , Bloor Street West (east intersection)
187,Berkeley Street,West,Queen Street East and Ramsay Lane,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Queen Street East , Ramsay Lane
188,Berkeley Street,West,Shuter Street and Carlton Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Shuter Street , Carlton Street
189,Berkeley Street,West,Richmond Street East and a point 61 metres south of Queen Street East,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Richmond Street East , a point 61 metres south of Queen Street East
190,Berkindale Drive,North,A point 30 metres west of Harrison Road and a point 75 metres west of Harrison Road,Anytime,15 mins.,A point 30 metres west of Harrison Road , a point 75 metres west of Harrison Road
191,Berl Avenue,East,The Queensway and Daniels Street,Anytime,1 hour,The Queensway , Daniels Street
192,Bernard Avenue,South,A point 168 metres east of Bedford Road and Avenue Road,Anytime,1 hour,A point 168 metres east of Bedford Road , Avenue Road
193,Bernard Avenue,South,Bedford Road and a point 141 metres further east,Anytime,1 hour,Bedford Road , a point 141 metres further east
194,Bernard Avenue,South,Admiral Road (east intersection) and Huron Street,10:00 a.m. to 6:00 p.m.,1 hour,Admiral Road (east intersection) , Huron Street
195,Berner Trail,West,A point 142.9 metres south of Blackwell Avenue and a point 29.8 metres further south,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",30 mins.,A point 142.9 metres south of Blackwell Avenue , a point 29.8 metres further south
196,Berner Trail,West,A point 87.3 metres south of Blackwell Avenue and a point 13.3 metres further south,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",30 mins.,A point 87.3 metres south of Blackwell Avenue , a point 13.3 metres further south
197,Berryman Street,North,Hazelton Avenue and a point 45.7 metres west of Davenport Road,8:00 a.m. to 6:00 p.m.,1 hour,Hazelton Avenue , a point 45.7 metres west of Davenport Road
198,Berryman Street,North,Davenport Road and a point 45.7 metres west,"7:30 a.m. to 10:00 a.m., 3:30 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",15 mins.,Davenport Road , a point 45.7 metres west
199,Bertmount Avenue,West,Dundas Street East and Queen Street East,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Dundas Street East , Queen Street East
200,Bertmount Avenue,West,Dundas Street East and Queen Street East,Anytime,1 hour,Dundas Street East , Queen Street East
201,Bertrand Avenue,North,Birchmount Road and a point 143.4 metres east of Crockford Boulevard,Anytime,1 hour,Birchmount Road , a point 143.4 metres east of Crockford Boulevard
202,Bertrand Avenue,North,Warden Avenue and a point 106 metres east of Crockford Boulevard,Anytime,1 hour,Warden Avenue , a point 106 metres east of Crockford Boulevard
203,Berwick Avenue,North,A point 120.4 metres west of Yonge Street and Duplex Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 120.4 metres west of Yonge Street , Duplex Avenue
204,Bessborough Drive,East,Annesley Avenue and Broadway Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Annesley Avenue , Broadway Avenue
205,Bessborough Drive,West,Glenvale Boulevard and Broadway Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Glenvale Boulevard , Broadway Avenue
207,Bessborough Drive,East,Glenvale Boulevard and Eglinton Avenue East,Anytime,1 hour,Glenvale Boulevard , Eglinton Avenue East
208,Beverley Street,West,Queen Street West and College Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Queen Street West , College Street
209,Bicknell Avenue,East,A point 61 metres north of Westbury Crescent and a point 26 metres south of Avon Drive,8:00 a.m. to 6:00 p.m.,1 hour,A point 61 metres north of Westbury Crescent , a point 26 metres south of Avon Drive
210,Bicknell Avenue,East,A point 26 metres north of Avon Drive and Eglinton Avenue West,"8:00 a.m. to 6:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 26 metres north of Avon Drive , Eglinton Avenue West
211,Bicknell Avenue,East,A point 26 metres north of Avon Drive and Eglinton Avenue West,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 26 metres north of Avon Drive , Eglinton Avenue West
212,Bicknell Avenue,West,A point 26 metres north of Avon Drive and Eglinton Avenue West,"8:00 a.m. to 6:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 26 metres north of Avon Drive , Eglinton Avenue West
213,Bicknell Avenue,East,Gilpin Avenue and Westbury Crescent,8:00 a.m. to 6:00 p.m.,1 hour,Gilpin Avenue , Westbury Crescent
214,Bingham Avenue,East,Kingston Road and Bracken Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Kingston Road , Bracken Avenue
215,Birch Avenue,North,A point 185.3 metres west of Yonge Street and the west end of Birch Avenue,8:00 a.m. to 6:00 p.m.,1 hour,A point 185.3 metres west of Yonge Street , the west end of Birch Avenue
216,Birch Avenue,North,A point 161.8 metres west of Yonge Street and the west end of Birch Avenue,10:00 a.m. to 6:00 p.m.,1 hour,A point 161.8 metres west of Yonge Street , the west end of Birch Avenue
217,Birch Avenue,South,Grange Avenue and a point 62 metres east,8:00 a.m. to 6:00 p.m.,1 hour,Grange Avenue , a point 62 metres east
218,Birch Avenue,South,Yonge Street and a point 137.2 metres west,Anytime,1 hour,Yonge Street , a point 137.2 metres west
219,Birchlea Avenue,South,Arcadian Circle and Thirty First Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Arcadian Circle , Thirty First Street
220,Birchview Boulevard,South,Brentwood Road North and a point 53.5 metres east of Montgomery Road,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Brentwood Road North , a point 53.5 metres east of Montgomery Road
221,Birchview Boulevard,South,Royal York Road and Brentwood Road North,Anytime,1 hour,Royal York Road , Brentwood Road North
222,Birkdale Road,North,Abbottswood Road and a point 137 metres east of Abbottswood Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Abbottswood Road , a point 137 metres east of Abbottswood Road
224,Blackthorn Avenue,West,St. Clair Avenue West and a point 76.2 metres north,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,St. Clair Avenue West , a point 76.2 metres north
225,Blandford Street,East,Rogers Road and Hanson Road,8:00 a.m. to 6:00 p.m.,1 hour,Rogers Road , Hanson Road
226,Blantyre Avenue,West,Swanwick Avenue and a point 56 metres south,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",30 mins.,Swanwick Avenue , a point 56 metres south
227,Blaydon Avenue,East,A point 36 metres south of Whitburn Crescent (southeast intersection) and a point 103 metres south thereof,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 36 metres south of Whitburn Crescent (southeast intersection) , a point 103 metres south thereof
228,Blaydon Avenue,East,A point 36 metres south of Whitburn Crescent (southeast intersection) and a point 103 metres south thereof,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 36 metres south of Whitburn Crescent (southeast intersection) , a point 103 metres south thereof
230,Bleecker Street,West,Wellesley Street East and Carlton Street,Anytime,1 hour,Wellesley Street East , Carlton Street
231,Bleecker Street,West,A point 11 metres north of Wellesley Street East and a point 50 metres north of Wellesley Street East,Anytime,2 hours,A point 11 metres north of Wellesley Street East , a point 50 metres north of Wellesley Street East
232,Bleecker Street,West,A point 50 metres north of Wellesley Street East and a point 11 metres further north,"12:01 a.m. to 7:30 a.m., 9:30 a.m. to 4:00 p.m., 6:15 p.m. to 12:00 midnight, Mon. to Fri., except public holidays",2 hours,A point 50 metres north of Wellesley Street East , a point 11 metres further north
233,Bleecker Street,West,A point 50 metres north of Wellesley Street East and a point 11 metres further north,"7:30 a.m. to 9:30 a.m., 4:00 p.m. to 6:15 p.m., Mon. to Fri. except public holidays",15 mins.,A point 50 metres north of Wellesley Street East , a point 11 metres further north
234,Bloor Street West,North,Botfield Avenue and a point 30.5 metres west,Anytime,1 hour,Botfield Avenue , a point 30.5 metres west
236,Bloor Street East,South,A point 50.5 metres east of Huntley Street and a point 73 metres west of Sherbourne Street,9:30 a.m. to 4:00 p.m.,1 hour,A point 50.5 metres east of Huntley Street , a point 73 metres west of Sherbourne Street
237,Lane first north of Bloor Street West,North,Wendover Road and a point 34 metres east,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Wendover Road , a point 34 metres east
238,Lane first north of Bloor Street West,North,Royal York Road and a point 50 metres east,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Royal York Road , a point 50 metres east
239,Lane first north of Bloor Street West,North,Grenview Boulevard North and a point 45 metres west,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Grenview Boulevard North , a point 45 metres west
240,Lane first north of Bloor Street West,North,Grenview Boulevard North and Wendover Road,9:00 a.m. to 6:00 p.m.,2 hours,Grenview Boulevard North , Wendover Road
242,Bloor Street West,South,Russett Avenue and Dufferin Street,9:00 a.m. to 4:00 p.m.,1 hour,Russett Avenue , Dufferin Street
243,Bloor Street West,North,Dufferin Street and Shaw Street,"7:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.; 9:00 a.m. to 4:00 p.m., Sun.",1 hour,Dufferin Street , Shaw Street
244,Bloor Street West,South,Lansdowne Avenue and Russett Avenue,"9:00 a.m. to 6:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",2 hours,Lansdowne Avenue , Russett Avenue
245,Bloor Street West,North,St. Helen’s Avenue and Lansdowne Avenue,9:00 a.m. to 4:00 p.m.,1 hour,St. Helen’s Avenue , Lansdowne Avenue
247,Bloor Street West,North,Lansdowne Avenue and Russett Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",2 hours,Lansdowne Avenue , Russett Avenue
252,Bloor Street West,South,A point 19.4 metres east of Symington Avenue and Lansdowne Avenue,9:00 a.m. to 4:00 p.m.,1 hour,A point 19.4 metres east of Symington Avenue , Lansdowne Avenue
254,Bodwin Avenue,South,Indian Grove and the west end of Bodwin Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Indian Grove , the west end of Bodwin Avenue
256,Booth Avenue,West,Eastern Avenue and the lane first south of Queen Street East,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Eastern Avenue , the lane first south of Queen Street East
257,Booth Avenue,West,A point 22 metres south of Queen Street East and the first lane south of Queen Street East,"7:30 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 22 metres south of Queen Street East , the first lane south of Queen Street East
260,Borden Street,West,College Street and Harbord Street,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,College Street , Harbord Street
261,Borough Drive,South And east,A point 30.5 metres east of Borough Approach East and a point 61 metres south of Town Centre Court,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 30.5 metres east of Borough Approach East , a point 61 metres south of Town Centre Court
262,Borough Drive,South,A point 30.5 metres east of Borough Approach West and a point 30.5 metres west of Borough Approach East,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 30.5 metres east of Borough Approach West , a point 30.5 metres west of Borough Approach East
263,Borough Drive,West And south,A point 61 metres south of Triton Road and a point 30.5 metres west of Borough Approach West,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 61 metres south of Triton Road , a point 30.5 metres west of Borough Approach West
264,Boston Avenue,East,Queen Street East and Dundas Street East,Anytime,1 hour,Queen Street East , Dundas Street East
265,Botfield Avenue,Both,Bloor Street West and a point 36.5 metres north,Anytime,1 hour,Bloor Street West , a point 36.5 metres north
270,Hupfield Trail,East,A point 34 metres north of Glanvil Crescent (north intersection) and a point 9 metres south of Lady Bower Crescent (south intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 34 metres north of Glanvil Crescent (north intersection) , a point 9 metres south of Lady Bower Crescent (south intersection)
271,Hupfield Trail,East,A point 120 metres north of McLevin Avenue and a point 204 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 120 metres north of McLevin Avenue , a point 204 metres further north
272,Hurndale Avenue,South,Ellerbeck Street and Jackman Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Ellerbeck Street , Jackman Avenue
273,Huron Street,East,Bloor Street West and Lowther Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Bloor Street West , Lowther Avenue
274,Huron Street,East,A point 30.5 metres north of Bernard Avenue and Dupont Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",2 hours,A point 30.5 metres north of Bernard Avenue , Dupont Street
275,Huron Street,East,Bloor Street West and a point opposite Washington Avenue,Anytime,1 hour,Bloor Street West , a point opposite Washington Avenue
276,Huron Street,East,A point 25 metres north of Sussex Street and a point 24 metres further north,"8:30 a.m. to 9:30 a.m., 11:30 a.m. to 2:00 p.m., 3:30 p.m. to 4:30 p.m., Mon. to Fri.",10 mins.,A point 25 metres north of Sussex Street , a point 24 metres further north
277,Huron Street,East,A point 95.5 metres north of Lowther Avenue and a point 87 metres further north,"8:00 a.m. to 9:30 a.m., 11:30 a.m. to 1:30 p.m., 3:30 p.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 95.5 metres north of Lowther Avenue , a point 87 metres further north
278,Huron Street,East,A point 240.8 metres north of Lowther Avenue and a point 30.5 metres south of Bernard Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",2 hours,A point 240.8 metres north of Lowther Avenue , a point 30.5 metres south of Bernard Avenue
279,Hyde Avenue,South,A point 48.5 metres west of Valley Crescent and Valley Crescent,8:00 a.m. to 6:00 p.m.,1 hour,A point 48.5 metres west of Valley Crescent , Valley Crescent
280,Imperial Street,South,Yonge Street and a point 100.3 metres west of Yonge Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Yonge Street , a point 100.3 metres west of Yonge Street
281,Imperial Street,South,Lascelles Boulevard and Colin Avenue,"10:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Lascelles Boulevard , Colin Avenue
282,Imperial Street,South,Oriole Parkway and Lascelles Boulevard,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Oriole Parkway , Lascelles Boulevard
283,Indian Grove,West,Dundas Street West and the north end of Indian Grove,8:00 a.m. to 6:00 p.m.,1 hour,Dundas Street West , the north end of Indian Grove
284,Indian Grove,West,Dundas Street West and Annette Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Dundas Street West , Annette Street
285,Indian Grove,West,A point opposite Glen Gordon Road and Glenlake Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point opposite Glen Gordon Road , Glenlake Avenue
286,Indian Grove,West,A point 82 metres north of Bloor Street West and Glenlake Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 82 metres north of Bloor Street West , Glenlake Avenue
