,highway,side,between,time,period,start_loc,end_loc
1266,Randolph Avenue,South,Perth Avenue and the west end of Randolph Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Perth Avenue , the west end of R
1269,Kipling Avenue,East,A point 61 metres north of Lake Shore Boulevard West and Birmingham Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,A point 61 metres north of Lake Shore Boulevard West , Birmingham Street
1271,Labatt Avenue,South,River Street and the east end of Labatt Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,River Street , the east end of Labatt Avenue
1272,Lady Bank Road,East,The Queensway and Inverness Avenue,Anytime,1 hour,The Queensway , Inverness Avenue
1273,Ladysmith Avenue,East,Danforth Avenue and Mountjoy Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Danforth Avenue , Mountjoy Avenue
1274,Laird Drive,West,Donlea Drive and Divadale Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Donlea Drive , Divadale Drive
1275,Lake Shore Boulevard West,North,Fourteenth Street and Fifteenth Street,Anytime,1 hour,Fourteenth Street , Fifteenth Street
1276,Lake Shore Boulevard West,West,Louisa Street and a point opposite Summerhill Road,Anytime,1 hour,Louisa Street , a point opposite Summerhill Road
1277,Lake Shore Boulevard West,East,A point opposite Mimico Avenue and a point 40 metres south of Louisa Street,Anytime,1 hour,A point opposite Mimico Avenue , a point 40 metres south of Louisa Street
1278,Lake Shore Boulevard West,East,A point opposite Allen Avenue and Summerhill Road,Anytime,1 hour,A point opposite Allen Avenue , Summerhill Road
