,lat,lng,geo_hash,record_date,8hr_Vehicle_Vol,8hr_Pedestrian_Vol
190,43.642390000000006,-79.38403000000001,dpz838f,2009-11-23,6151,1675
191,43.642520000000005,-79.42717,dpz828f,2016-04-26,10496,1546
192,43.6426,-79.57592000000001,dpz2m0y,2011-10-19,16688,537
193,43.642696,-79.43745200000001,dpz822g,2014-12-18,6127,1245
194,43.642707900000005,-79.393895,dpz832g,2012-08-22,22616,7070
195,43.642920000000004,-79.40767000000001,dpz830c,2015-04-02,11450,2931
196,43.642970000000005,-79.38147000000001,dpz838u,2012-04-19,17067,9528
197,43.642982449,-79.53101329600001,dpz2q0z,2012-05-28,12936,347
198,43.643170000000005,-79.37791,dpz838y,2012-08-22,17008,13149
199,43.643260000000005,-79.37543000000001,dpz83c0,2009-06-10,15223,3796
200,43.643357,-79.5724476,dpz2m31,2009-10-14,22819,396
201,43.6433915,-79.391253,dpz833j,2011-08-10,14832,10118
202,43.643420000000006,-79.40524,dpz8314,2015-09-30,9966,4831
203,43.643510000000006,-79.42240000000001,dpz829n,2012-03-14,10043,1734
204,43.643904000000006,-79.40267,dpz831h,2015-04-11,15742,9020
205,43.64394,-79.36897,dpz83cj,2009-03-30,7542,922
206,43.643980000000006,-79.38873000000001,dpz833n,2015-04-20,9921,13919
207,43.644092,-79.481907,dpz2r35,2010-09-14,10267,283
208,43.644197000000005,-79.3758602,dpz83c0,2012-09-08,10520,2020
209,43.644204,-79.418862,dpz82c0,2013-03-14,11628,4053
210,43.644220000000004,-79.52560000000001,dpz2q35,2012-05-28,13882,1637
211,43.644287000000006,-79.394559,dpz8334,2009-04-23,13806,1391
212,43.644470000000005,-79.40008,dpz831n,2011-06-20,8866,5085
213,43.64463,-79.5672,dpz2m3k,2013-11-27,25958,1128
214,43.644654715,-79.558876455,dpz2m96,2008-03-26,7316,183
215,43.6446586,-79.52339900000001,dpz2q3k,2014-05-03,25266,1833
216,43.6447334,-79.39177620000001,dpz833k,2015-06-22,6090,7101
217,43.644740000000006,-79.41628,dpz82c6,2009-08-20,11185,2755
218,43.6447547,-79.38498100000001,dpz8393,2015-06-16,11290,31351
219,43.644885202000005,-79.47859223500001,dpz2r3m,2009-12-10,6488,634
220,43.64493,-79.45626,dpz2rcm,2011-11-09,14077,911
221,43.645080301,-79.565149937,dpz2m3q,2015-05-20,26578,147
222,43.645156,-79.36550000000001,dpz83cr,2003-12-01,6021,108
223,43.645210000000006,-79.40321,dpz831k,2015-08-18,12296,1573
224,43.64524,-79.53197,dpz2q1q,2016-05-12,12467,1145
225,43.645257315,-79.35268223700001,dpz8633,2009-10-19,5622,517
226,43.64529,-79.38918000000001,dpz833q,2009-04-23,10712,12944
227,43.645291,-79.38247600000001,dpz8397,2015-04-20,15386,19707
228,43.64537,-79.41319,dpz82cm,2009-08-19,9898,1979
229,43.6454505,-79.395002,dpz8336,2015-01-22,18148,19438
230,43.645501,-79.369794,dpz83ck,2012-08-25,22735,1895
231,43.64571,-79.51902000000001,dpz2q92,2011-05-19,16416,858
232,43.64575,-79.40060000000001,dpz831q,2015-08-26,7345,2694
233,43.645854747,-79.56186764,dpz2m92,2010-11-23,25854,140
234,43.645996000000004,-79.379115,dpz839t,2009-04-22,18965,17115
235,43.64602,-79.40993,dpz82cx,2010-08-11,7820,1231
236,43.64607,-79.3923,dpz833s,2011-05-26,12865,8895
237,43.6460929,-79.385564,dpz8399,2009-11-26,8381,11428
238,43.646217,-79.39812900000001,dpz8338,2009-07-30,6505,1038
239,43.646303,-79.36629500000001,dpz83cx,2012-08-25,23160,1893
240,43.646330000000006,-79.56004,dpz2m9d,2014-11-26,27755,569
241,43.64636,-79.44903000000001,dpz821d,2013-07-11,6002,2052
242,43.646405400000006,-79.38407600000001,dpz839d,2015-04-20,18390,18152
243,43.646453,-79.403717,dpz831e,2015-08-18,11748,3918
244,43.646620000000006,-79.38976000000001,dpz833w,2011-08-30,10235,15252
245,43.6466383,-79.383007,dpz839e,2015-04-18,6498,6101
246,43.64672,-79.40654,dpz8319,2015-09-02,10538,6170
247,43.6467218,-79.395533,dpz8339,2010-08-26,18285,9395
248,43.646730000000005,-79.51454000000001,dpz2q9e,2012-09-18,15344,852
249,43.64678,-79.53052000000001,dpz2q1x,2016-05-12,11830,819
250,43.646814000000006,-79.430379,dpz8298,2016-04-27,8849,1094
251,43.646846000000004,-79.376931,dpz839x,2014-05-06,10737,17522
252,43.64696,-79.53755000000001,dpz2q1d,2014-12-16,13922,146
253,43.64696,-79.41983,dpz82c8,2012-02-09,5191,2270
254,43.64698,-79.41715,dpz82cd,2010-01-14,3069,486
255,43.64699,-79.40111,dpz831t,2013-08-13,6624,5835
256,43.6471973,-79.403991,dpz831e,2015-04-11,14741,19595
257,43.6473,-79.37329000000001,dpz83cd,2013-08-13,4006,5271
258,43.6473011,-79.39279900000001,dpz833e,2015-08-18,10387,9463
259,43.6473438,-79.511352,dpz2q9v,2014-10-06,23173,3056
260,43.647345,-79.37970200000001,dpz839v,2009-08-12,16188,32319
261,43.647371,-79.38605000000001,dpz839b,2009-03-30,7847,9542
262,43.647490000000005,-79.39865,dpz831z,2010-01-11,5219,773
263,43.647655300000004,-79.384788,dpz839c,2015-01-22,19291,17345
264,43.647740000000006,-79.40141,dpz831v,2010-08-12,7433,1346
265,43.6477572,-79.361271,dpz861f,2012-08-16,15771,601
266,43.6478484,-79.377351,dpz839z,2014-05-06,13620,26656
267,43.64788,-79.39028,dpz833v,2011-07-26,11286,7715
268,43.6479018,-79.396023,dpz833c,2012-08-02,18437,13015
269,43.647933800000004,-79.383531,dpz839f,2009-04-23,12501,14673
270,43.6480289,-79.508356,dpz2q9z,2011-05-11,13796,722
271,43.64806,-79.39966000000001,dpz831y,2011-07-19,7737,6250
272,43.64819,-79.35475000000001,dpz861z,2009-11-30,10659,390
273,43.64822,-79.38866,dpz833y,2010-07-28,9502,3714
274,43.64826,-79.3709,dpz83cg,2010-12-16,15391,2209
275,43.648304,-79.485695,dpz2r3b,2014-07-15,19084,1630
276,43.6484,-79.52505000000001,dpz2q3g,2014-04-24,17848,1330
277,43.648425800000005,-79.393259,dpz833g,2015-08-18,9004,7477
278,43.648513176,-79.37383353700001,dpz83cc,2015-04-20,10467,7381
279,43.64855,-79.34502,dpz863y,2012-05-16,4750,21
280,43.6486354,-79.38655800000001,dpz839b,2015-08-31,7279,6248
281,43.648653,-79.380268,dpz839v,2009-04-23,21640,22398
282,43.64866,-79.45778,dpz2rcu,2011-09-28,14984,583
283,43.648666500000004,-79.50543300000001,dpz2qcc,2010-05-18,21167,1187
284,43.648720000000004,-79.60632000000001,dpz2kd0,2013-12-09,14635,298
285,43.648731500000004,-79.396364,dpz8361,2012-09-27,24813,11218
286,43.6488,-79.52873000000001,dpz2q60,2016-05-14,20467,1662
287,43.648810000000005,-79.54897000000001,dpz2mf4,2016-05-09,15923,369
288,43.648857,-79.38548,dpz83d1,2012-07-31,23606,9272
289,43.64893,-79.40465,dpz8345,2015-04-02,9841,2137
290,43.649060000000006,-79.36728000000001,dpz83fn,2008-02-27,6830,2825
291,43.6491527,-79.390765,dpz836j,2009-03-02,10619,5692
292,43.6491624,-79.377904,dpz83dn,2015-01-22,13527,33938
293,43.649196,-79.384074,dpz83d4,2010-07-27,14130,9142
294,43.649331200000006,-79.484452,dpz2r61,2012-03-05,17507,2516
