,Car_Park_No,Name,Address,lat,lon,geohash
40,82,Margueretta,9 Emerson Avenue,43.659359203445085,-79.44093915387516,dpz827b
41,84,Salem,9 Salem Avenue and 10 Westmoreland Avenue ,43.66101261587514,-79.43050636525474,dpz82s0
42,85,Palmerston,557 Palmerston Avenue and 640 Markham Avenue,43.66517950014422,-79.41379811431726,dpz82vh
43,87,Chester,14 Arundel Avenue,43.67851410629585,-79.35103606483332,dpz86r6
44,88,Ferrier East,25 Ferrier Avenue,43.679022223151904,-79.34855993225247,dpz86rs
45,89,Lipton,20 Eaton Avenue,43.68013499694159,-79.34337548822766,dpz86rx
46,90,Eaton,17 Eaton Avenue,43.68012495920135,-79.34329796459703,dpz86rx
47,91,Armadale,265 Armadale Avenue,43.65028483542035,-79.48317785134763,dpz2r66
48,93,Euclid,675 Manning Avenue and 696 Euclid Avenue,43.664675667782305,-79.41617674920673,dpz82uf
49,96,Portland ,10 Portland Street,43.641953738271134,-79.39906582780296,dpz830z
50,104,Ossington,745 Ossington Avenue and 6 Carling Avenue,43.66247791785441,-79.42582919675131,dpz82se
51,106,Augusta,15 Denison Avenue,43.64835042215357,-79.40074082151322,dpz831y
52,107,MacPherson,251 MacPherson Avenue,43.677595918662476,-79.40012470246411,dpz83pq
53,108,The Esplanade,1A Church Street,43.64680812570238,-79.37305524816303,dpz83cd
54,109,Aberdeen,51 Aberdeen Avenue,43.66489276934627,-79.36884506618966,dpz83uv
55,110,Danforth,1612 Danforth Avenue,43.68358404858894,-79.32267931877193,dpz8dbq
56,111,Clinton South,74 Clinton Street,43.655924829303515,-79.41421687166006,dpz82gk
57,116,Kennedy,255 Kennedy Avenue,43.651868615326876,-79.47534949636466,dpz2r6x
58,125,Richmond-Sherbourne Garage,323 Richmond Street East,43.653565834843434,-79.36804567984308,dpz83fv
59,126,Front/Parliament,43A Parliament Street,43.6505218604702,-79.3622220282645,dpz8646
60,130,Bartlett,"7 Bartlett Avenue, 6 Salem Avenue",43.6608890671706,-79.43306878446548,dpz82kn
61,131,Hilltop,912 Eglinton Avenue West,43.700529099659384,-79.42785731585774,dpz88e6
62,137,Gough,77 Gough Avenue,43.67950301610016,-79.34636083553592,dpz86rt
63,139,Yonge/Sherwood,6 Sherwood Avenue,43.71366221622701,-79.39903961977026,dpz89jz
64,141,Greenlaw,141 Greenlaw Avenue,43.67622336969815,-79.44782851760071,dpz82p5
65,142,Langford,31 Langford Avenue,43.68059549431585,-79.34084952037067,dpz86xc
66,143,Willard,265 Willard Avenue,43.65042917069648,-79.48191810280473,dpz2r67
67,144,Clinton North,376 Clinton Avenue,43.66435577546313,-79.41738669054756,dpz82uf
68,146,Gerrard,573 Gerrard Street East,43.66530880209485,-79.35318859172489,dpz86m0
69,149,Woodycrest,12 Woodycrest Avenue,43.68039298972821,-79.34211550986774,dpz86xb
70,150,Larch Street Garage,40 Larch Street,43.65278336692819,-79.39688295198796,dpz8368
71,152,Glenforest,25 Glenforest Road,43.730420794881496,-79.40253550790585,dpz8c0u
72,155,Eglinton West,995 Eglinton Avenue West,43.69975586759203,-79.4311267636621,dpz88e2
73,156,Ferrier West,18 Ferrier Avenue,43.67894376963472,-79.34860455663903,dpz86rs
74,157,Bayview/Millwood,709 Millwood Road,43.70427280930822,-79.37447503774024,dpz89u1
75,158,Queen/Lansdowne,1325 Queen Street West,43.64117486759203,-79.43368612155928,dpz822w
76,161,St. Clair/DeLisle,30 St. Clair Avenue West,43.68793341661366,-79.39520235082801,dpz8934
77,163,Dundas-Spadina Dragon City Garage,521 Dundas Street West,43.65277586759201,-79.39869428919734,dpz834x
78,164,Thelma/Spadina,453 Spadina Road,43.68963320206008,-79.41304741545981,dpz88cm
79,167,Queen/Ossington,18 Ossington Avenue,43.6446624343586,-79.41904581239528,dpz82c2
80,168,Harrison/Dovercourt,144A and 146 Harrison Street,43.65040308133753,-79.42426923925207,dpz82dm
81,170,Queen/Hammersmith,117 Hammersmith Avenue,43.67166035942636,-79.29457637105446,dpz87w5
82,171,Mount Pleasant Rd,730 Mount Pleasant Road,43.706740945871125,-79.38954442994385,dpz89kw
83,173,Danforth/Rhodes,1549 Danforth Avenue,43.683137802094855,-79.32444428919733,dpz8dbm
84,174,Gerrard/Hiawatha,151 Hiawatha Avenue,43.673751910641045,-79.3235606634258,dpz86yw
85,177,York/Spadina,10 York Street,43.641222873160615,-79.38082683112118,dpz838s
86,178,Mount Pleasant,650 Mount Pleasant Road,43.70479284901036,-79.3887836317155,dpz89kn
87,179,Gerrard/Broadview,653 Gerrard Street East,43.66596783484344,-79.35008495392121,dpz86m5
88,180,Gerrard/Rhodes,268 Rhodes Avenue,43.67213973827112,-79.32021533501633,dpz87n2
89,181,Lamport Stadium,1155 King Street West,43.63990278204225,-79.42245573945362,dpz828q
