,geohash,SearchingByHour
37,dpz8e45,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.3333, 10: 0.2, 11: 0, 12: 0.125, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.0333, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
38,dpz9k41,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.5, 9: 0.3333, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.5, 15: 0, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
39,dpz3p4h,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1429, 10: 0.2, 11: 0, 12: 0, 13: 0, 14: 0.4, 15: 0, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
40,dpz2jch,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.75, 8: 0, 9: 0.25, 10: 0, 11: 0, 12: 0, 13: 0.5, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
41,dpz8843,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.1818, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.0909, 19: 0.2, 20: 0, 21: 1, 22: 0, 23: 0}"
42,dpz8uh3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.0588, 12: 0, 13: 0, 14: 0, 15: 0.0833, 16: 0.05, 17: 0, 18: 0, 19: 0.0667, 20: 0.125, 21: 0, 22: 0, 23: 0}"
43,dpz9jz0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0.5, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0.5, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
44,dpz90fg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0833, 10: 0.125, 11: 0.3333, 12: 0, 13: 0, 14: 0.5, 15: 0.25, 16: 0, 17: 0.2, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
45,dpz2sdq,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0556, 9: 0, 10: 0.1, 11: 0.25, 12: 0, 13: 0, 14: 0.1429, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
46,dpz9j5h,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0.0625, 9: 0.2, 10: 0, 11: 0, 12: 0.2, 13: 0.25, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
47,dpz8vs7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3333, 8: 0, 9: 0.5, 10: 0.25, 11: 0.5, 12: 0, 13: 0.6, 14: 0, 15: 0.3333, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
48,dpz945y,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.6667, 12: 0.3333, 13: 0, 14: 0.6667, 15: 0.3333, 16: 0, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
49,dpz2sdr,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1429, 8: 0, 9: 0.3333, 10: 0.1111, 11: 0, 12: 0, 13: 0.0714, 14: 0, 15: 0.0667, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
50,dpz2juz,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1, 10: 0, 11: 0.1111, 12: 0.0833, 13: 0, 14: 0.05, 15: 0, 16: 0.1429, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
51,dpz2ve8,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.4, 11: 0.4, 12: 0, 13: 0, 14: 0.5, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
52,dpz2ntp,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0, 9: 0.1667, 10: 0, 11: 0.5, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
53,dpz8ef5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1429, 9: 0, 10: 0, 11: 0.4, 12: 0, 13: 0, 14: 0.125, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0.25, 21: 0, 22: 0, 23: 0}"
54,dpz9m09,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.6667, 11: 0, 12: 0, 13: 0.5, 14: 0.2, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
55,dpz8fkm,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 1, 13: 0.25, 14: 0, 15: 0, 16: 0.1875, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
56,dpz2sxn,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.25, 12: 0.1429, 13: 0.125, 14: 0, 15: 0, 16: 0, 17: 0.3333, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
57,dpz9jy8,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0714, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.0313, 16: 0.1111, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
58,dpz9hpw,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.25, 13: 0.5, 14: 0, 15: 0, 16: 0.5, 17: 0, 18: 0.2, 19: 0, 20: 0.5, 21: 0, 22: 0, 23: 0}"
59,dpz94u3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0476, 7: 0, 8: 0.0417, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.0909, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
60,dpz95ms,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1, 10: 0, 11: 0, 12: 0.2, 13: 0.25, 14: 0.3333, 15: 0, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
61,dpz2n22,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.25, 13: 0.1667, 14: 0, 15: 0.25, 16: 0, 17: 0.4, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
62,dpz979b,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0263, 5: 0, 6: 0.25, 7: 0, 8: 0, 9: 0.2, 10: 0, 11: 0.3333, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.5, 18: 0.25, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
63,dpz2vsx,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.027, 9: 0, 10: 0.1, 11: 0.25, 12: 0, 13: 0, 14: 0, 15: 0.25, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
64,dpz8940,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0.6667, 9: 0, 10: 0, 11: 0.25, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
65,dpz9hkc,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3333, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0.2, 13: 0.25, 14: 0, 15: 0.1429, 16: 0, 17: 0, 18: 0, 19: 0, 20: 1, 21: 0, 22: 0, 23: 0}"
66,dpz8eqe,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0278, 8: 0.0208, 9: 0.0417, 10: 0.0455, 11: 0.0357, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0.0357, 17: 0.05, 18: 0, 19: 0, 20: 1, 21: 0, 22: 0, 23: 0}"
67,dpz2ne3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2, 10: 0, 11: 0.3333, 12: 0.1667, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.3333}"
68,dpz8g7e,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.5, 10: 0, 11: 1, 12: 0, 13: 0.3333, 14: 0.3333, 15: 0, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
69,dpz2nw3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.2, 7: 0.1429, 8: 0.0667, 9: 0.25, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
70,dpz88rn,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.75, 12: 0, 13: 0, 14: 0.3333, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
71,dpz2zus,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0909, 11: 0, 12: 0.2, 13: 0, 14: 0.0909, 15: 0, 16: 0.1, 17: 0, 18: 0.1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
72,dpz2nr2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0, 9: 0.1667, 10: 0.3333, 11: 0.2, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0.3333, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
73,dpz2n7z,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0769, 10: 0, 11: 0.1111, 12: 0.1364, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.5, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
74,dpxrvzm,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.0417, 14: 0, 15: 0.1053, 16: 0, 17: 0.1176, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
75,dpz95wh,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.2, 9: 0, 10: 0.2857, 11: 0, 12: 0.1429, 13: 0, 14: 0.2857, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
76,dpz2pjs,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.625, 10: 0, 11: 0, 12: 0.5, 13: 0, 14: 0, 15: 0.5, 16: 1, 17: 0, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0, 23: 0}"
77,dpz2sxp,"{0: 0, 1: 0, 2: 0.5, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0833, 9: 0.0833, 10: 0, 11: 0, 12: 0.0455, 13: 0, 14: 0.0476, 15: 0, 16: 0, 17: 0, 18: 0.2, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
